Nombre Producto - Grupo,packaging_unitName,productId,name,variant_features_0_value,description,pricePerUnit,dimensions_weight,dimensions_weightUnit,dimensions_length,dimensions_lengthUnit,dimensions_width,dimensions_widthUnit,dimensions_height,dimensions_heightUnit,dimensions_volume,dimensions_volumeUnit,constraints_minUnit,constraints_stepSize,packaging_unit,packaging_packageName,packaging_packageUnit,packaging_amountPerPackage,packaging_boxName,packaging_boxUnit,packaging_amountPerBox,packaging_palletName,packaging_palletUnit,packaging_amountPerPallet
ESTUCO HORMIGON,Balde 4 Galones,PCA909BLAN006,ESTUCO HORMIGON BLANCO,BLANCO,"Estuco hormigon base agua, formulado con resinas acrilicas, ideal para enmascarar, decorar e impermeabilizar superficies rigidas y neutras tanto en interiores como exteriores. Ofrece un acabado texturado, de alta adherencia sobre muros estucados, ladrillos, fibrocemento, madera, poliestireno expandido, y otros materiales flexibles. Rendimiento teorico de 10 a 12 m² por tineta, secado al tacto entre 2 y 4 horas, repintado desde 6 horas. No requiere dilucion y se aplica con llana metalica, rodillo o pistola texturadora. Producto libre de plomo, mercurio, cromo y metales pesados, cumpliendo con las normativas de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad garantizada de 36 meses en envases cerrados.",46758,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESTUCO ELASTOMERICO,Balde 4 Galones,PCA909G10BI06,ESTUCO ELASTOMERICO G-10 BASE INCOLORA,BASE INCOLORA,"Estuco elastomerico base agua grano 10, ideal para superficies que experimentan alta dilatacion y contraccion en interiores y exteriores. Formulado con resinas elastomericas, pigmentos organicos e inorganicos y aditivos especiales, ofrece un acabado texturado. Rendimiento teorico de 10 a 12 m² por tineta, secado al tacto entre 2 y 4 horas, repintado desde 6 horas. No requiere dilucion y se aplica con llana metalica, rodillo o pistola. Producto libre de plomo, mercurio, cromo y metales pesados, cumpliendo con las normas de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad garantizada de 36 meses en envases cerrados. Ideal para fibrocemento, madera, tableros de particulas y materiales flexibles.",33000,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESTUCO ELASTOMERICO,Balde 4 Galones,PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BLANCO,BLANCO,"Estuco elastomerico base agua grano 10, ideal para superficies que experimentan alta dilatacion y contraccion en interiores y exteriores. Formulado con resinas elastomericas, pigmentos organicos e inorganicos y aditivos especiales, ofrece un acabado texturado. Rendimiento teorico de 10 a 12 m² por tineta, secado al tacto entre 2 y 4 horas, repintado desde 6 horas. No requiere dilucion y se aplica con llana metalica, rodillo o pistola. Producto libre de plomo, mercurio, cromo y metales pesados, cumpliendo con las normas de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad garantizada de 36 meses en envases cerrados. Ideal para fibrocemento, madera, tableros de particulas y materiales flexibles.",36990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESTUCO ELASTOMERICO,Balde 4 Galones,PCA909G25BI06,ESTUCO ELASTOMERICO G-25 INCOLORO,INCOLORO,"Estuco elastomerico base agua grano 25, ideal para superficies que experimentan alta dilatacion y contraccion en interiores y exteriores. Formulado con resinas elastomericas, pigmentos organicos e inorganicos y aditivos especiales, ofrece un acabado texturado. Rendimiento teorico de 10 a 12 m² por tineta, secado al tacto entre 2 y 4 horas, repintado desde 6 horas. No requiere dilucion y se aplica con llana metalica, rodillo o pistola. Producto libre de plomo, mercurio, cromo y metales pesados, cumpliendo con las normas de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad garantizada de 36 meses en envases cerrados. Ideal para fibrocemento, madera, tableros de particulas y materiales flexibles.",32990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESTUCO ELASTOMERICO,Balde 4 Galones,PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BLANCO,BLANCO,"Estuco elastomerico base agua grano 25, ideal para superficies que experimentan alta dilatacion y contraccion en interiores y exteriores. Formulado con resinas elastomericas, pigmentos organicos e inorganicos y aditivos especiales, ofrece un acabado texturado. Rendimiento teorico de 10 a 12 m² por tineta, secado al tacto entre 2 y 4 horas, repintado desde 6 horas. No requiere dilucion y se aplica con llana metalica, rodillo o pistola. Producto libre de plomo, mercurio, cromo y metales pesados, cumpliendo con las normas de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad garantizada de 36 meses en envases cerrados. Ideal para fibrocemento, madera, tableros de particulas y materiales flexibles.",37990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
TEXTURENE,Balde 4 Galones,PCA909TEXREN6,TEXTURENE G-10 BLANCO,BLANCO,"Pasta texturada, Grano 10, de acabado mate, rendimiento 10 a 12 m2 por Balde de 4 galones, ideal para ambiente de interior o exterior. Apta para el enmascaramiento de imperfecciones en cielos rasos rigidos de hormigon-yeso, revestimiento de muros de albañileria en zonas secas de baja circulacion de personas.",30225,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
TEXTU EIFS,Balde 4 Galones,PCA912EI10BL6,TEXTU EIFS G-10 BLANCO,BLANCO,"Textura elastica grano 10, de aspecto pastoso y texturado base agua, para ser aplicado como terminacion en SISTEMA EIFS (aislacion termica), formulado en base a resinas elastomericas, rendimiento teorico entre 10 y 12 m2 por balde de 4 galones, secado tacto a 20ºC y 60% H.R. entre 2 y 4 horas, repintado en 6 horas minimo, aplicacion para Interior y Exterior, aplicacion en Llana metalica, Rodillo y Pistola texturadora.",30990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
TEXTU EIFS,Balde 4 Galones,PCA912EI25BL6,TEXTU EIFS G-25 BLANCO,BLANCO,"Textura elastica grano 25, de aspecto pastoso y texturado base agua, para ser aplicado como terminacion en SISTEMA EIFS (aislacion termica), formulado en base a resinas elastomericas, rendimiento teorico entre 10 y 12 m2 por balde de 4 galones, secado tacto a 20ºC y 60% H.R. entre 2 y 4 horas, repintado en 6 horas minimo, aplicacion para Interior y Exterior, aplicacion en Llana metalica, Rodillo y Pistola texturadora.",30990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
TEXTU EIFS,Balde 4 Galones,PCA912EIFSIN6,TEXTU EIFS G-10 BASE INCOLORA,BASE INCOLORA,"Textura elastica grano 10, de aspecto pastoso y texturado base agua, para ser aplicado como terminacion en SISTEMA EIFS (aislacion termica), formulado en base a resinas elastomericas, rendimiento teorico entre 10 y 12 m2 por balde de 4 galones, secado tacto a 20ºC y 60% H.R. entre 2 y 4 horas, repintado en 6 horas minimo, aplicacion para Interior y Exterior, aplicacion en Llana metalica, Rodillo y Pistola texturadora.",28990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
TEXTU EIFS,Balde 4 Galones,PCA912G25BIN6,TEXTU EIFS G-25 BASE INCOLORA,BASE INCOLORA,"Textura elastica grano 25, de aspecto pastoso y texturado base agua, para ser aplicado como terminacion en SISTEMA EIFS (aislacion termica), formulado en base a resinas elastomericas, rendimiento teorico entre 10 y 12 m2 por balde de 4 galones, secado tacto a 20ºC y 60% H.R. entre 2 y 4 horas, repintado en 6 horas minimo, aplicacion para Interior y Exterior, aplicacion en Llana metalica, Rodillo y Pistola texturadora.",28990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PROFINISH,Balde 4 Galones,PCA912G10BI06,PROFINISH  G-10 BASE INCOLORA,BASE INCOLORA,"Producto de aspecto pastoso y texturado base agua, Grano 10 ,especialmente formulado para enmascarar y decorar superficies neutras interiores y exteriores que posean imperfecciones, dejando una terminacion texturada. Rendimiento 10 a 12 m2 por balde de 4 galones, secado Tacto 2 a 4 horas, repintado 8 a 24 horas, ambiente Interior-Exterior, no requiere dilucion, aplicacion Llana metalica, Rodillo y Pistola texturadora.",25990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PROFINISH,Balde 4 Galones,PCA912G10BLA6,PROFINISH G-10 BLANCO,BLANCO,"Producto de aspecto pastoso y texturado base agua, Grano 10 ,especialmente formulado para enmascarar y decorar superficies neutras interiores y exteriores que posean imperfecciones, dejando una terminacion texturada. Rendimiento 10 a 12 m2 por balde de 4 galones, secado Tacto 2 a 4 horas, repintado 8 a 24 horas, ambiente Interior-Exterior, no requiere dilucion, aplicacion Llana metalica, Rodillo y Pistola texturadora.",25990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PROFINISH,Balde 4 Galones,PCA912G25BI06,PROFINISH G-25 BASE INCOLORA,BASE INCOLORA,"Producto de aspecto pastoso y texturado base agua, Grano 25 ,especialmente formulado para enmascarar y decorar superficies neutras interiores y exteriores que posean imperfecciones, dejando una terminacion texturada. Rendimiento 10 a 12 m2 por balde de 4 galones, secado Tacto 2 a 4 horas, repintado 8 a 24 horas, ambiente Interior-Exterior, no requiere dilucion, aplicacion Llana metalica, Rodillo y Pistola texturadora.",25990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PROFINISH,Balde 4 Galones,PCA912G25BL06,PROFINISH G-25 BLANCO,BLANCO,"Producto de aspecto pastoso y texturado base agua, Grano 25 ,especialmente formulado para enmascarar y decorar superficies neutras interiores y exteriores que posean imperfecciones, dejando una terminacion texturada. Rendimiento 10 a 12 m2 por balde de 4 galones, secado Tacto 2 a 4 horas, repintado 8 a 24 horas, ambiente Interior-Exterior, no requiere dilucion, aplicacion Llana metalica, Rodillo y Pistola texturadora.",28990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
IMPRIMANTE TEXTURA,Balde 4 Galones,PCA912IMPTEX6,IMPRIMANTE TEXTURA BLANCO,BLANCO,"Pintura base agua formulada con resinas copolimero acrilico en emulsion acuosa, pigmentos organicos e inorganicos, aditivos especiales y extenders adecuados. Ofrece un rendimiento teorico de 35 ± 5 m² por galon y mano. Se seca al tacto en 2 a 4 horas y se puede repintar a partir de 6 horas. Ideal para uso interior y exterior, especialmente como acondicionador de superficies texturadas, dejando un acabado firme con absorcion uniforme.",24522,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PASTA LOSA PLUS,Balde 4 Galones,PCA916LOSA006,PASTA LOSA PLUS,,"Pasta texturizadora base agua formulada con resinas acrilicas en emulsion acuosa, pigmentos inorganicos, aditivos reologicos y extenders adecuados. Ofrece un rendimiento de 15 m² por tineta y mano sobre superficie lisa y sellada. Secado rapido al tacto en 2 a 3 horas y repintado en 3 a 6 horas. Su acabado mate con efecto goteado proporciona una textura fina y suave, ideal para disimular imperfecciones en cielos rasos y muros interiores.",24273,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
SELLADOR PAPEL COPPER,Balde 4 Galones,PCA920INCOBR6,SELLADOR PAPEL COPPER,,"Sellador para papel base agua, formulado en base a resinas acrilicas en emulsion acuosa con nanoparticulas de cobre, producto formulado para sellar y uniformar la absorcion de superfices como muros de estuco, hormigon, ladrillo, tableros de madera y fibrocemento. Este imprimante es especial para prevenir la formacion de hongos bajo el papel mural, gracias a las nanoparticulas de cobre, para uso e interior y exterior. Rinde entre 100-120 m2/balde/mano. Aplicable con borcha rodillo y pistola. Tiempo de secado al tacto y repintado de 2 a 3 hrs. Dilucion maxima de 20% a 30% con agua potable.",24874,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE SINTETICO,Balde 4 Galones,PCA922BOSC056,ESMALTE SINTETICO BASE OSCURA,BASE OSCURA,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",49990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
HIDRO COPPER,Balde 4 Galones,PCA925BLAN056,HIDRO COPPER BLANCO,BLANCO,"Pintura base agua de alta calidad formulada con resinas acrilicas en emulsion acuosa, aditivos hidro-repelentes, fungicidas y nano-particulas de cobre con accion microbicida. Ofrece un rendimiento de 35 ± 5 m² por galon con una sola mano de aplicacion. Se seca al tacto en 2 a 3 horas a 20°C y 60% de humedad relativa, y puede ser repintada en 3 a 6 horas. Ideal para uso interior y exterior, especialmente en superficies de fibrocemento (siding y tinglado), estucos, ladrillos, hormigon y pisos de cemento.",47832,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
LATEX ELASTOMERICO,Balde 4 Galones,PCA927BLANCO6,LATEX ELASTOMERICO BLANCO,BLANCO,"Latex de Aparejo y Terminacion, ideal para zonas con micro frisuras por su capacidad elastica, con acabado mate, rendimiento  35 ± 5 m2 por galon con una mano, aplicacion brocha, rodillo y pistola, secado tacto entre 2 – 3 horas, repintado entre  3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada.",35300,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
LATEX SUPER CUBRIENTE,Balde 4 Galones,PCA929BOSC06,LATEX SUPER CUBRIENTE BASE OSCURA,BASE OSCURA,"Latex Super Cubriente de Aparejo y Terminacion Premium, con acabado mate, rendimiento  35 ± 5 m2 por galon con una mano, aplicacion brocha, rodillo y pistola, secado tacto entre 2 – 3 horas, repintado entre  3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada de fibrocemento.",23178,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PASTA ESTUCRYL,Balde 4 Galones,PCA950PESTU06,PASTA ESTUCRYL,,"Pasta base agua formulada con resinas acrilicas en emulsion acuosa, pigmentos organicos e inorganicos, y aditivos especiales. Ofrece un rendimiento de 1,5 kg de mezcla con cemento por cada mm de espesor y por m². Secado rapido al tacto en 2 a 3 horas y repintado en 6 horas minimo. Su acabado mate proporciona una excelente resistencia a la humedad, siendo ideal para estucar, reparar o enlucir muros de estuco, albañileria, ladrillos, OSB y otros materiales utilizados en construccion.",14360,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
PASTA ADHESIVA EIFS,Balde 4 Galones,PCA952ELEIFS6,PASTA ADHESIVA EIFS,,"Revestimiento pastoso preparado con resinas acrilicas modificadas y silice, diseñado para nivelar muros exteriores en combinacion con mallas de fibra de vidrio. Se aplica mezclando 1,5 kg de la pasta con cemento por cada mm de espesor por m². El rendimiento con malla incorporada es de 3 kg por m² en superficies planas (dos manos). Secado rapido y con excelente adherencia sobre hormigon, albañileria y otros materiales constructivos.",16081,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
TEXDUR,Balde 4 Galones,PCA953TEXDUR6,TEXDUR,,"Texdur, revestimiento base agua con resina acrilica para fachadas e interiores, acabado mate texturado, rendimiento de 1 a 2 kg/m² segun la textura deseada, secado al tacto en 2 a 3 horas y repintado desde 6 horas, excelente adherencia, flexibilidad y resistencia a agentes atmosfericos, no requiere dilucion, se aplica con llana metalica, rodillo o pistola texturadora, libre de metales pesados, estabilidad de 36 meses en envase cerrado.",21384,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE ACRILICO,Balde 4 Galones,PCA970GRISAC6,ESMALTE ACRILICO GRIS,GRIS,"Esmalte acrilico base solvente brillante, formulado con resinas acrilicas puras, ideal para pisos de cemento en estacionamientos, terrazas y locales comerciales. Rendimiento de 40 ± 2 m² por galon por mano a 25 micrones, secado al tacto entre 15 y 25 minutos, repintado desde 2 horas. Alta resistencia al agua, a la radiacion UV y a solventes como bencina y aguarras mineral. Excelente adherencia sobre superficies minerales y metalicas pre-pintadas. Aplicacion en interiores y exteriores, compatible con brocha, rodillo y pistola. Producto libre de plomo, mercurio y metales pesados, con certificacion de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad de 36 meses en envase cerrado.",72990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
SELLADOR ACRILICO,Balde 4 Galones,PCAPLUS920BI6,SELLADOR ACRILICO INCOLORO,INCOLORO,"Sellador base agua formulado con resinas acrilicas en emulsion acuosa, humectantes de superficie, aditivos y agua como solvente. Ofrece un rendimiento de 35 ± 5 m² por galon y mano, segun la absorcion de la superficie. Secado al tacto en 2 a 3 horas y repintado en 3 a 6 horas a 20°C y 60% de humedad relativa. Su acabado satinado y excelente resistencia a la humedad lo hace ideal para sellar y uniformar superficies alcalinas.",17303,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
SELLADOR ACRILICO,Balde 4 Galones,PCAPLUS920BL6,SELLADOR ACRILICO BLANCO,BLANCO,"Sellador base agua formulado con resinas acrilicas en emulsion acuosa, humectantes de superficie, aditivos y agua como solvente. Ofrece un rendimiento de 35 ± 5 m² por galon y mano, segun la absorcion de la superficie. Secado al tacto en 2 a 3 horas y repintado en 3 a 6 horas a 20°C y 60% de humedad relativa. Su acabado satinado y excelente resistencia a la humedad lo hace ideal para sellar y uniformar superficies alcalinas.",27887,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
FIBRO COPPER,Balde 4 Galones,PCAPLUS921056,FIBRO COPPER INCOLORO,INCOLORO,"Pintura base agua para Siding y Fibrocemento de acabado semi brillo, con nano particulas de cobre con funcion antimicrobiana, sirve como imprimante y terminacion, rinde 35 ± 5 m² por galon, secado al tacto en 2 a 3 horas y repintado desde 3 horas, alta resistencia al agua, microorganismos y radiacion UV, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para fibrocemento, estucos, ladrillos, hormigon y pisos de cemento con funcion “mata polvo” en el incoloro.",29990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
